[3/18] arch1_3conv_narrow__vgg_td512 | teacher=vgg dim=512 convs=3
  trainable params: 77,877
vgg16] epoch 00 | train_loss 35.70356 | train_acc 0.0393 | val_loss 3.46433 | val_acc 0.0951 | enc_lr 2.00e-04 | cls_lr 9.98e-04
vgg16] epoch 01 | train_loss 34.87433 | train_acc 0.0873 | val_loss 3.27064 | val_acc 0.1141 | enc_lr 1.99e-04 | cls_lr 9.94e-04
vgg16] epoch 02 | train_loss 33.73677 | train_acc 0.0960 | val_loss 3.28984 | val_acc 0.1277 | enc_lr 1.97e-04 | cls_lr 9.86e-04
vgg16] epoch 03 | train_loss 33.27339 | train_acc 0.1039 | val_loss 3.34565 | val_acc 0.1304 | enc_lr 1.95e-04 | cls_lr 9.76e-04
vgg16] epoch 04 | train_loss 32.23626 | train_acc 0.1229 | val_loss 3.38608 | val_acc 0.1359 | enc_lr 1.92e-04 | cls_lr 9.62e-04
vgg16] epoch 05 | train_loss 31.93310 | train_acc 0.1289 | val_loss 3.47156 | val_acc 0.1495 | enc_lr 1.89e-04 | cls_lr 9.46e-04
vgg16] epoch 06 | train_loss 31.43634 | train_acc 0.1482 | val_loss 3.40560 | val_acc 0.1495 | enc_lr 1.85e-04 | cls_lr 9.26e-04
vgg16] epoch 07 | train_loss 30.70962 | train_acc 0.1525 | val_loss 3.33986 | val_acc 0.1603 | enc_lr 1.81e-04 | cls_lr 9.05e-04
vgg16] epoch 08 | train_loss 30.64173 | train_acc 0.1618 | val_loss 3.46110 | val_acc 0.1848 | enc_lr 1.76e-04 | cls_lr 8.80e-04
vgg16] epoch 09 | train_loss 29.77824 | train_acc 0.1733 | val_loss 3.55944 | val_acc 0.1984 | enc_lr 1.71e-04 | cls_lr 8.54e-04
vgg16] epoch 10 | train_loss 29.72487 | train_acc 0.1715 | val_loss 3.82869 | val_acc 0.1793 | enc_lr 1.65e-04 | cls_lr 8.25e-04
vgg16] epoch 11 | train_loss 29.45204 | train_acc 0.1821 | val_loss 3.49720 | val_acc 0.2038 | enc_lr 1.59e-04 | cls_lr 7.94e-04
vgg16] epoch 12 | train_loss 29.13906 | train_acc 0.1821 | val_loss 3.38334 | val_acc 0.2228 | enc_lr 1.52e-04 | cls_lr 7.61e-04
vgg16] epoch 13 | train_loss 28.82002 | train_acc 0.1875 | val_loss 3.50723 | val_acc 0.1902 | enc_lr 1.46e-04 | cls_lr 7.27e-04
vgg16] epoch 14 | train_loss 28.66910 | train_acc 0.1969 | val_loss 3.64680 | val_acc 0.2201 | enc_lr 1.39e-04 | cls_lr 6.92e-04
vgg16] epoch 15 | train_loss 28.44519 | train_acc 0.2068 | val_loss 3.69717 | val_acc 0.1929 | enc_lr 1.31e-04 | cls_lr 6.55e-04
vgg16] epoch 16 | train_loss 28.32768 | train_acc 0.1981 | val_loss 3.42778 | val_acc 0.2337 | enc_lr 1.24e-04 | cls_lr 6.17e-04
vgg16] epoch 17 | train_loss 28.01421 | train_acc 0.2123 | val_loss 3.45133 | val_acc 0.2283 | enc_lr 1.16e-04 | cls_lr 5.79e-04
vgg16] epoch 18 | train_loss 27.82352 | train_acc 0.2029 | val_loss 3.36255 | val_acc 0.2364 | enc_lr 1.08e-04 | cls_lr 5.40e-04
vgg16] epoch 19 | train_loss 27.47876 | train_acc 0.2246 | val_loss 3.51584 | val_acc 0.2174 | enc_lr 1.01e-04 | cls_lr 5.00e-04
vgg16] epoch 20 | train_loss 27.47883 | train_acc 0.2207 | val_loss 3.62795 | val_acc 0.2174 | enc_lr 9.27e-05 | cls_lr 4.61e-04
vgg16] epoch 21 | train_loss 27.55333 | train_acc 0.2189 | val_loss 3.44636 | val_acc 0.2174 | enc_lr 8.49e-05 | cls_lr 4.22e-04
vgg16] epoch 22 | train_loss 27.32073 | train_acc 0.2243 | val_loss 3.56852 | val_acc 0.2255 | enc_lr 7.73e-05 | cls_lr 3.84e-04
vgg16] epoch 23 | train_loss 27.16298 | train_acc 0.2274 | val_loss 3.66010 | val_acc 0.2255 | enc_lr 6.98e-05 | cls_lr 3.46e-04
vgg16] epoch 24 | train_loss 27.19517 | train_acc 0.2258 | val_loss 3.44914 | val_acc 0.2310 | enc_lr 6.24e-05 | cls_lr 3.09e-04
Early stopping com val_acc: 0.23641304347826086 (menor loss = 3.27064)
  best val_acc = 0.2364 -> arch1_3conv_narrow__vgg_td512.pth
====================================================================================================
[4/18] arch2_3conv__resnet_td2048 | teacher=resnet dim=2048 convs=3
  trainable params: 437,317
resnet50] epoch 00 | train_loss 4.32211 | train_acc 0.0694 | val_loss 3.15047 | val_acc 0.1250 | enc_lr 2.00e-04 | cls_lr 9.98e-04
resnet50] epoch 01 | train_loss 3.95430 | train_acc 0.1286 | val_loss 2.96529 | val_acc 0.1522 | enc_lr 1.99e-04 | cls_lr 9.94e-04
resnet50] epoch 02 | train_loss 3.82427 | train_acc 0.1609 | val_loss 2.86800 | val_acc 0.1929 | enc_lr 1.97e-04 | cls_lr 9.86e-04
resnet50] epoch 03 | train_loss 3.71439 | train_acc 0.1806 | val_loss 2.77731 | val_acc 0.2120 | enc_lr 1.95e-04 | cls_lr 9.76e-04
resnet50] epoch 04 | train_loss 3.58305 | train_acc 0.2005 | val_loss 2.72119 | val_acc 0.2310 | enc_lr 1.92e-04 | cls_lr 9.62e-04
resnet50] epoch 05 | train_loss 3.55328 | train_acc 0.2252 | val_loss 2.63045 | val_acc 0.2853 | enc_lr 1.89e-04 | cls_lr 9.46e-04
resnet50] epoch 06 | train_loss 3.49807 | train_acc 0.2316 | val_loss 2.63007 | val_acc 0.2473 | enc_lr 1.85e-04 | cls_lr 9.26e-04
resnet50] epoch 07 | train_loss 3.43846 | train_acc 0.2509 | val_loss 2.53833 | val_acc 0.2690 | enc_lr 1.81e-04 | cls_lr 9.05e-04
resnet50] epoch 08 | train_loss 3.37192 | train_acc 0.2624 | val_loss 2.52226 | val_acc 0.2663 | enc_lr 1.76e-04 | cls_lr 8.80e-04
resnet50] epoch 09 | train_loss 3.32327 | train_acc 0.2645 | val_loss 2.64811 | val_acc 0.2391 | enc_lr 1.71e-04 | cls_lr 8.54e-04
resnet50] epoch 10 | train_loss 3.28733 | train_acc 0.2702 | val_loss 2.54043 | val_acc 0.2690 | enc_lr 1.65e-04 | cls_lr 8.25e-04
resnet50] epoch 11 | train_loss 3.24276 | train_acc 0.2902 | val_loss 2.44644 | val_acc 0.2989 | enc_lr 1.59e-04 | cls_lr 7.94e-04
resnet50] epoch 12 | train_loss 3.19866 | train_acc 0.2962 | val_loss 2.46223 | val_acc 0.3071 | enc_lr 1.52e-04 | cls_lr 7.61e-04
